library,strain,clone,genename,comment,row96,col96,plt96,biorep96
P1+T5 library,713,2,T5_130,"Point mutation x2Mismatches (One silent), no frame change",A,6,8,2
P1+T5 library,714,2,T5_131,Correct,B,6,8,2
P1+T5 library,715,2,T5_132,Correct,C,6,8,2
P1+T5 library,716,2,T5_133,No reads,D,6,8,2
P1+T5 library,717,2,T5_134,Correct,E,6,8,2
P1+T5 library,718,2,T5_135,Correct,F,6,8,2
P1+T5 library,719,34,gfp,Correct,G,6,8,2
P1+T5 library,720,2,T5_138,"CorrectLong ORF, incomplete sequence",H,6,8,2
P1+T5 library,721,2,T5_139,Correct,A,7,8,2
P1+T5 library,722,2,T5_143,Correct,B,7,8,2
P1+T5 library,723,2,T5_144,Correct,C,7,8,2
P1+T5 library,724,2,T5_145,"CorrectLong ORF, incomplete sequence",D,7,8,2
P1+T5 library,725,2,T5_146,Correct,E,7,8,2
P1+T5 library,726,2,T5_148,Correct,F,7,8,2
P1+T5 library,727,2,T5_151,Insertion Mutated methionine,G,7,8,2
P1+T5 library,728,2,T5_152,"CorrectLong ORF, incomplete sequence",H,7,8,2
P1+T5 library,729,2,T5_153,Correct,A,8,8,2
P1+T5 library,730,35,gfp,Correct,B,8,8,2
P1+T5 library,731,2,T5_154,GFP It is GFP clone,C,8,8,2
P1+T5 library,732,2,T5_155,Deletion primerPremature stop codon,D,8,8,2
P1+T5 library,733,2,T5_156,Correct,E,8,8,2
P1+T5 library,734,2,T5_157,GFP It is GFP clone,F,8,8,2
P1+T5 library,735,2,T5_158,Correct,G,8,8,2
P1+T5 library,736,2,T5_159,Correct,H,8,8,2
P1+T5 library,737,2,T5_160,Correct,A,9,8,2
P1+T5 library,738,2,T5_161,Correct,B,9,8,2
P1+T5 library,739,2,T5_162,Correct,C,9,8,2
P1+T5 library,740,2,T5_tRNA001,Correct,D,9,8,2
P1+T5 library,741,2,T5_tRNA010,Correct,E,9,8,2
P1+T5 library,742,2,T5_tRNA011,Correct,F,9,8,2
P1+T5 library,743,2,T5_tRNA012,Correct,G,9,8,2
P1+T5 library,744,2,T5_tRNA013,Correct,H,9,8,2
P1+T5 library,745,2,T5_tRNA014,Correct,A,10,8,2
P1+T5 library,746,2,T5_tRNA015,Correct,B,10,8,2
P1+T5 library,747,2,T5_tRNA016,Correct,C,10,8,2
P1+T5 library,748,2,T5_tRNA002,Correct,D,10,8,2
P1+T5 library,749,2,T5_tRNA003,Correct,E,10,8,2
P1+T5 library,750,2,T5_tRNA004,Correct,F,10,8,2
P1+T5 library,751,2,T5_tRNA005,Point mutation Same as Plate C1,G,10,8,2
P1+T5 library,752,36,gfp,Correct,H,10,8,2
P1+T5 library,753,2,T5_tRNA006,Correct,A,11,8,2
P1+T5 library,754,2,T5_tRNA007,Correct,B,11,8,2
P1+T5 library,755,2,T5_tRNA008,Correct,C,11,8,2
P1+T5 library,756,2,T5_077,Correct,D,11,8,2
P1+T5 library,757,2,T5_081,Correct,E,11,8,2
P1+T5 library,758,2,T5_083,Correct,F,11,8,2
P1+T5 library,759,2,T5_084,Correct,G,11,8,2
P1+T5 library,760,2,T5_094,"CorrectLong ORF, incomplete sequence",H,11,8,2
P1+T5 library,761,37,gfp,No reads,A,12,8,2
P1+T5 library,762,2,T5_127,"CorrectLong ORF, incomplete sequence",B,12,8,2
P1+T5 library,763,2,T5_141,"Deletion primerPremature stop codon , same mutation as Plate C1",C,12,8,2
P1+T5 library,764,2,T5_147,Correct,D,12,8,2
P1+T5 library,765,2,T5_149,"CorrectLong ORF, incomplete sequence",E,12,8,2
P1+T5 library,766,2,T5_150,"Point mutation Mismatches, no frame change, same as Plate C1",F,12,8,2
P1+T5 library,767,2,T5_tRNA009,Correct,G,12,8,2
P1+T5 library,768,2,empty,NA,H,12,8,2
