library,strain,clone,genename,comment,row96,col96,plt96,biorep96
P1+T5 library,246,1,P1_gp054,bplB,F,7,3,1
P1+T5 library,247,3,P1_gp055,pmgG,G,7,3,1
P1+T5 library,248,3,P1_gp056,gp21,H,7,3,1
P1+T5 library,249,3,P1_gp057,gp22,A,8,3,1
P1+T5 library,250,3,P1_gp058,gp23,B,8,3,1
P1+T5 library,251,1,P1_gp059,parB,C,8,3,1
P1+T5 library,252,3,P1_gp060,parA,D,8,3,1
P1+T5 library,253,3,P1_gp061,repA,E,8,3,1
P1+T5 library,254,3,P1_gp062,upfA,F,8,3,1
P1+T5 library,255,3,P1_gp063,mlp,G,8,3,1
P1+T5 library,256,3,P1_gp064,ppfA,H,8,3,1
P1+T5 library,257,3,P1_gp065,upfB,A,9,3,1
P1+T5 library,258,3,P1_gp066,upfC,B,9,3,1
P1+T5 library,259,3,P1_gp067,uhr,C,9,3,1
P1+T5 library,260,3,P1_gp068,hrdC,D,9,3,1
P1+T5 library,261,2,P1_gp069,dmt,E,9,3,1
P1+T5 library,262,3,P1_gt070,trnA,F,9,3,1
P1+T5 library,263,3,P1_gt071,trnT,G,9,3,1
P1+T5 library,264,3,P1_gp072,plp,H,9,3,1
P1+T5 library,265,3,P1_gp073,upl,A,10,3,1
P1+T5 library,266,3,P1_gp074,tciA,B,10,3,1
P1+T5 library,267,3,P1_gp075,tciB,C,10,3,1
P1+T5 library,268,3,P1_gp076,tciC,D,10,3,1
P1+T5 library,269,3,P1_gp077,ban,E,10,3,1
P1+T5 library,270,1,P1_gp078,dbn,F,10,3,1
P1+T5 library,271,3,P1_gp079,gp5,G,10,3,1
P1+T5 library,272,1,P1_gp080,gp6,H,10,3,1
P1+T5 library,273,3,P1_gp081,gp24,A,11,3,1
P1+T5 library,274,3,P1_gp082,gp7,B,11,3,1
P1+T5 library,275,3,P1_gp083,gp25,C,11,3,1
P1+T5 library,276,3,P1_gp084,gp26,D,11,3,1
P1+T5 library,277,3,P1_gp085,pmgL,E,11,3,1
P1+T5 library,278,3,P1_gp086,pmgM,F,11,3,1
P1+T5 library,279,3,P1_gp087,pmgN,G,11,3,1
P1+T5 library,280,1,P1_gp088,pmgO,H,11,3,1
P1+T5 library,281,1,P1_gp089,pmgP,A,12,3,1
P1+T5 library,282,3,P1_gp090,ppp,B,12,3,1
P1+T5 library,283,3,P1_gp091,pmgQ,C,12,3,1
P1+T5 library,284,3,P1_gp092,pmgR,D,12,3,1
P1+T5 library,285,3,P1_gp093,pmgS,E,12,3,1
P1+T5 library,286,3,P1_gp094,pap,F,12,3,1
P1+T5 library,287,3,P1_gp095,pmgT,G,12,3,1
P1+T5 library,288,1,P1_gp096,pmgU,H,12,3,1
