library,plt96,row96,col96,strain,clone,genename,comment,biorep96
P1T5 condensed,1,B,6,42,1,P1_gp017,isaA,2
P1T5 condensed,1,C,6,43,1,P1_gp029,cin,2
P1T5 condensed,1,D,6,44,1,P1_gp041,simC,2
P1T5 condensed,1,E,6,45,1,P1_gp054,bplB,2
P1T5 condensed,1,F,6,46,1,gfp,gfp,2
P1T5 condensed,1,G,6,47,1,P1_gp075,tciB,2
P1T5 condensed,1,H,6,48,1,P1_gp087,pmgN,2
P1T5 condensed,1,A,7,49,1,P1_gp006,mat,2
P1T5 condensed,1,B,7,50,1,gfp,gfp,2
P1T5 condensed,1,C,7,51,1,P1_gp030,gpU.prime,2
P1T5 condensed,1,D,7,52,1,P1_gp042,simB,2
P1T5 condensed,1,E,7,53,1,P1_gp055,pmgG,2
P1T5 condensed,1,F,7,54,1,P1_gp065,upfB,2
P1T5 condensed,1,G,7,55,1,P1_gp076,tciC,2
P1T5 condensed,1,H,7,56,1,P1_gp088,pmgO,2
P1T5 condensed,1,A,8,57,1,P1_gp007,res,2
P1T5 condensed,1,B,8,58,1,P1_gp018,insB,2
P1T5 condensed,1,C,8,59,4,P1_gp031,gpU,2
P1T5 condensed,1,D,8,60,1,P1_gp043,simA,2
P1T5 condensed,1,E,8,61,1,P1_gp056,gp21,2
P1T5 condensed,1,F,8,62,1,P1_gp066,upfC,2
P1T5 condensed,1,G,8,63,1,P1_gp077,ban,2
P1T5 condensed,1,H,8,64,1,P1_gp089,pmgP,2
P1T5 condensed,1,A,9,65,1,P1_gp008,mod,2
P1T5 condensed,1,B,9,66,5,P1_gp019,insA,2
P1T5 condensed,1,C,9,67,1,P1_gp032,gpS,2
P1T5 condensed,1,D,9,68,1,P1_gr044,c4,2
P1T5 condensed,1,E,9,69,1,P1_gp057,gp22,2
P1T5 condensed,1,F,9,70,1,P1_gp067,uhr,2
P1T5 condensed,1,G,9,71,1,P1_gp078,dbn,2
P1T5 condensed,1,H,9,72,1,P1_gp090,ppp,2
P1T5 condensed,1,A,10,73,1,P1_gp009,lxc,2
P1T5 condensed,1,B,10,74,6,P1_gp020,isaB,2
P1T5 condensed,1,C,10,75,1,P1_gp033,gpR,2
P1T5 condensed,1,D,10,76,1,P1_gp045,icd,2
P1T5 condensed,1,E,10,77,1,P1_gp058,gp23,2
P1T5 condensed,1,F,10,78,1,P1_gp068,hrdC,2
P1T5 condensed,1,G,10,79,1,P1_gp079,gp5,2
P1T5 condensed,1,H,10,80,1,P1_gp091,pmgQ,2
P1T5 condensed,1,A,11,81,1,P1_gp010,ulx,2
P1T5 condensed,1,B,11,82,1,P1_gp021,hxr,2
P1T5 condensed,1,C,11,83,1,P1_gp034,gp16,2
P1T5 condensed,1,D,11,84,1,P1_gp046,ant1,2
P1T5 condensed,1,E,11,85,1,gfp,gfp,2
P1T5 condensed,1,F,11,86,1,P1_gp069,dmt,2
P1T5 condensed,1,G,11,87,1,P1_gp080,gp6,2
P1T5 condensed,1,H,11,88,1,P1_gp092,pmgR,2
P1T5 condensed,1,A,12,89,1,P1_gp011,darB,2
P1T5 condensed,1,B,12,90,1,P1_gp022,ddrB,2
P1T5 condensed,1,C,12,91,1,P1_gp035,bplA,2
P1T5 condensed,1,D,12,92,1,P1_gp047,ant2,2
P1T5 condensed,1,E,12,93,1,P1_gp059,parB,2
P1T5 condensed,1,F,12,94,1,P1_gt070,trnA,2
P1T5 condensed,1,G,12,95,1,P1_gp081,gp24,2
P1T5 condensed,1,H,12,96,7,gfp,gfp,2
