library,strain,clone,genename,comment,row96,col96,plt96
P1+T5 library,334,3,P1_gp098,upfM,F,6,4
P1+T5 library,335,3,P1_gp099,upfN,G,6,4
P1+T5 library,336,3,P1_gp100,upfO,H,6,4
P1+T5 library,337,3,P1_gp101,hot,A,7,4
P1+T5 library,338,3,P1_gp102,lxr,B,7,4
P1+T5 library,339,3,P1_gp103,humD,C,7,4
P1+T5 library,340,3,P1_gp104,phd,D,7,4
P1+T5 library,341,3,P1_gp105,doc,E,7,4
P1+T5 library,342,3,P1_gp106,pdcA,F,7,4
P1+T5 library,343,3,P1_gp107,pdcB,G,7,4
P1+T5 library,344,3,P1_gp108,lpa,H,7,4
P1+T5 library,345,3,P1_gp109,pacA,A,8,4
P1+T5 library,346,3,P1_gp110,pacB,B,8,4
P1+T5 library,347,3,P1_gp111,c1.100,C,8,4
P1+T5 library,348,1,P1_gp112,coi,D,8,4
P1+T5 library,349,3,P1_gp113,imcB,E,8,4
P1+T5 library,350,3,P1_gp114,imcA,F,8,4
P1+T5 library,351,3,P1_gp115,lydE,G,8,4
P1+T5 library,352,3,P1_gp116,iddB,H,8,4
P1+T5 library,353,3,P1_gt117,trnI,A,9,4
P1+T5 library,354,10,gfp,gfp3,B,9,4
P1+T5 library,355,4,P1_gp097,pmgV,C,9,4
P1+T5 library,356,4,P1_gp098,upfM,D,9,4
P1+T5 library,357,4,P1_gp099,upfN,E,9,4
P1+T5 library,358,4,P1_gp100,upfO,F,9,4
P1+T5 library,359,4,P1_gp101,hot,G,9,4
P1+T5 library,360,4,P1_gp102,lxr,H,9,4
P1+T5 library,361,1,P1_gp103,humD,A,10,4
P1+T5 library,362,4,P1_gp104,phd,B,10,4
P1+T5 library,363,4,P1_gp105,doc,C,10,4
P1+T5 library,364,4,P1_gp106,pdcA,D,10,4
P1+T5 library,365,4,P1_gp107,pdcB,E,10,4
P1+T5 library,366,4,P1_gp108,lpa,F,10,4
P1+T5 library,367,4,P1_gp109,pacA,G,10,4
P1+T5 library,368,4,P1_gp110,pacB,H,10,4
P1+T5 library,369,1,P1_gp111,c1.100,A,11,4
P1+T5 library,370,2,P1_gp112,coi,B,11,4
P1+T5 library,371,4,P1_gp113,imcB,C,11,4
P1+T5 library,372,4,P1_gp114,imcA,D,11,4
P1+T5 library,373,4,P1_gp115,lydE,E,11,4
P1+T5 library,374,4,P1_gp116,iddB,F,11,4
P1+T5 library,375,4,P1_gt117,trnI,G,11,4
P1+T5 library,376,11,gfp,gfp3,H,11,4
P1+T5 library,377,2,P1_gp089,pmgP,A,12,4
P1+T5 library,378,1,P1_gp090,ppp,B,12,4
P1+T5 library,379,1,P1_gp091,pmgQ,C,12,4
P1+T5 library,380,1,P1_gp092,pmgR,D,12,4
P1+T5 library,381,1,P1_gp093,pmgS,E,12,4
P1+T5 library,382,1,P1_gp094,pap,F,12,4
P1+T5 library,383,1,P1_gp095,pmgT,G,12,4
P1+T5 library,384,2,P1_gp096,pmgU,H,12,4
